param price :=
    C Jan S37 107
    C Feb S37 108
    A Jan S38 113
    A Feb S38 105
    B Jan S38 112
    B Feb S38 89
    C Jan S38 108
    C Feb S38 107
    A Jan S39 115
    A Feb S39 103
    B Jan S39 112
    B Feb S39 104
    C Jan S39 107
    C Feb S39 106
    A Jan S40 114
    A Feb S40 98
    B Jan S40 111
    B Feb S40 108
    C Jan S40 102
    C Feb S40 112
    A Jan S41 114
    A Feb S41 101
    B Jan S41 110
    B Feb S41 96
    C Jan S41 100
    C Feb S41 110
    A Jan S42 116
    A Feb S42 101
    B Jan S42 115
    B Feb S42 104
    C Jan S42 110
    C Feb S42 108
    A Jan S43 116
    A Feb S43 102
    B Jan S43 114
    B Feb S43 109
    C Jan S43 105
    C Feb S43 108
    A Jan S44 116
    A Feb S44 110
    B Jan S44 110
    B Feb S44 103
    C Jan S44 102
    C Feb S44 107
    A Jan S45 115
    A Feb S45 100
    B Jan S45 112
    B Feb S45 98
    C Jan S45 106
    C Feb S45 107
    A Jan S46 115
    A Feb S46 107
    B Jan S46 116
    B Feb S46 86
    C Jan S46 105
    C Feb S46 114
    A Jan S47 116
    A Feb S47 104
    B Jan S47 114
    B Feb S47 120
    C Jan S47 106
    C Feb S47 110
    A Jan S48 116
    A Feb S48 120
    B Jan S48 113
    B Feb S48 96
    C Jan S48 107
    C Feb S48 106
    A Jan S49 117
    A Feb S49 102
    B Jan S49 113
    B Feb S49 94
    C Jan S49 110
    C Feb S49 114
    A Jan S50 117
    A Feb S50 102
    B Jan S50 112
    B Feb S50 97
    C Jan S50 108
    C Feb S50 112
    A Jan S51 116
    A Feb S51 110
    B Jan S51 111
    B Feb S51 97
    C Jan S51 105
    C Feb S51 110
    A Jan S52 114
    A Feb S52 106
    B Jan S52 109
    B Feb S52 108
    C Jan S52 97
    C Feb S52 108
    A Jan S53 116
    A Feb S53 100
    B Jan S53 113
    B Feb S53 101
    C Jan S53 110
    C Feb S53 112
    A Jan S54 115
    A Feb S54 111
    B Jan S54 111
    B Feb S54 95
    C Jan S54 107
    C Feb S54 103
    A Jan S55 115
    A Feb S55 95
    B Jan S55 112
    B Feb S55 106
    C Jan S55 111
    C Feb S55 109
    A Jan S56 114
    A Feb S56 106
    B Jan S56 112
    B Feb S56 97
    C Jan S56 106
    C Feb S56 107
    A Jan S57 114
    A Feb S57 99
    B Jan S57 114
    B Feb S57 103
    C Jan S57 108
    C Feb S57 107
    A Jan S58 117
    A Feb S58 100
    B Jan S58 115
    B Feb S58 98
    C Jan S58 110
    C Feb S58 113
    A Jan S59 115
    A Feb S59 102
    B Jan S59 112
    B Feb S59 106
    C Jan S59 111
    C Feb S59 109
    A Jan S60 116
    A Feb S60 97
    B Jan S60 112
    B Feb S60 96
    C Jan S60 113
    C Feb S60 112
    A Jan S61 115
    A Feb S61 104
    B Jan S61 115
    B Feb S61 98
    C Jan S61 101
    C Feb S61 112
    A Jan S62 115
    A Feb S62 99
    B Jan S62 114
    B Feb S62 104
    C Jan S62 108
    C Feb S62 110
    A Jan S63 114
    A Feb S63 97
    B Jan S63 115
    B Feb S63 98
    C Jan S63 111
    C Feb S63 106
    A Jan S64 113
    A Feb S64 101
    B Jan S64 114
    B Feb S64 102
    C Jan S64 104
    C Feb S64 107
    A Jan S65 115
    A Feb S65 101
    B Jan S65 115
    B Feb S65 97
    C Jan S65 109
    C Feb S65 111
    A Jan S66 115
    A Feb S66 101
    B Jan S66 112
    B Feb S66 97
    C Jan S66 99
    C Feb S66 110
    A Jan S67 114
    A Feb S67 94
    B Jan S67 111
    B Feb S67 93
    C Jan S67 113
    C Feb S67 112
    A Jan S68 114
    A Feb S68 101
    B Jan S68 112
    B Feb S68 101
    C Jan S68 106
    C Feb S68 107
    A Jan S69 117
    A Feb S69 102
    B Jan S69 112
    B Feb S69 98
    C Jan S69 108
    C Feb S69 112
    A Jan S70 115
    A Feb S70 106
    B Jan S70 112
    B Feb S70 89
    C Jan S70 104
    C Feb S70 110
    A Jan S71 115
    A Feb S71 96
    B Jan S71 112
    B Feb S71 94
    C Jan S71 108
    C Feb S71 110
    A Jan S72 115
    A Feb S72 96
    B Jan S72 113
    B Feb S72 105
    C Jan S72 107
    C Feb S72 107
    A Jan S73 114
    A Feb S73 101
    B Jan S73 114
    B Feb S73 107
    C Jan S73 107
    C Feb S73 106
    A Jan S74 114
    A Feb S74 102
    B Jan S74 114
    B Feb S74 100
    C Jan S74 102
    C Feb S74 109
    A Jan S75 115
    A Feb S75 96
    B Jan S75 114
    B Feb S75 96
    C Jan S75 108
    C Feb S75 108
    A Jan S76 116
    A Feb S76 105
    B Jan S76 112
    B Feb S76 94
    C Jan S76 111
    C Feb S76 107
    A Jan S77 114
    A Feb S77 103
    B Jan S77 116
    B Feb S77 110
    C Jan S77 102
    C Feb S77 108
    A Jan S78 115
    A Feb S78 106
    B Jan S78 111
    B Feb S78 99
    C Jan S78 119
    C Feb S78 102
    A Jan S79 115
    A Feb S79 103
    B Jan S79 113
    B Feb S79 92
    C Jan S79 107
    C Feb S79 112
    A Jan S80 116
    A Feb S80 93
    B Jan S80 113
    B Feb S80 98
    C Jan S80 110
    C Feb S80 111
    A Jan S81 115
    A Feb S81 98
    B Jan S81 114
    B Feb S81 99
    C Jan S81 109
    C Feb S81 110
    A Jan S82 116
    A Feb S82 106
    B Jan S82 113
    B Feb S82 103
    C Jan S82 109
    C Feb S82 107
    A Jan S83 116
    A Feb S83 104
    B Jan S83 112
    B Feb S83 103
    C Jan S83 105
    C Feb S83 113
    A Jan S84 117
    A Feb S84 112
    B Jan S84 111
    B Feb S84 91
    C Jan S84 105
    C Feb S84 110
    A Jan S85 115
    A Feb S85 104
    B Jan S85 112
    B Feb S85 103
    C Jan S85 105
    C Feb S85 108
    A Jan S86 115
    A Feb S86 102
    B Jan S86 113
    B Feb S86 91
    C Jan S86 104
    C Feb S86 110
    A Jan S87 117
    A Feb S87 98
    B Jan S87 109
    B Feb S87 104
    C Jan S87 109
    C Feb S87 112
    A Jan S88 116
    A Feb S88 109
    B Jan S88 112
    B Feb S88 96
    C Jan S88 113
    C Feb S88 107
    A Jan S89 115
    A Feb S89 104
    B Jan S89 112
    B Feb S89 98
    C Jan S89 105
    C Feb S89 110
    A Jan S90 115
    A Feb S90 99
    B Jan S90 113
    B Feb S90 98
    C Jan S90 109
    C Feb S90 109
    A Jan S91 116
    A Feb S91 96
    B Jan S91 112
    B Feb S91 104
    C Jan S91 104
    C Feb S91 112
    A Jan S92 116
    A Feb S92 101
    B Jan S92 116
    B Feb S92 102
    C Jan S92 102
    C Feb S92 112
    A Jan S93 116
    A Feb S93 108
    B Jan S93 114
    B Feb S93 100
    C Jan S93 107
    C Feb S93 108
    A Jan S94 114
    A Feb S94 104
    B Jan S94 111
    B Feb S94 94
    C Jan S94 103
    C Feb S94 110
    A Jan S95 114
    A Feb S95 107
    B Jan S95 113
    B Feb S95 101
    C Jan S95 104
    C Feb S95 107
    A Jan S96 116
    A Feb S96 96
    B Jan S96 111
    B Feb S96 95
    C Jan S96 108
    C Feb S96 115
    A Jan S97 116
    A Feb S97 104
    B Jan S97 108
    B Feb S97 80
    C Jan S97 109
    C Feb S97 111
    A Jan S98 115
    A Feb S98 101
    B Jan S98 119
    B Feb S98 105
    C Jan S98 111
    C Feb S98 109
    A Jan S99 116
    A Feb S99 103
    B Jan S99 113
    B Feb S99 94
    C Jan S99 106
    C Feb S99 111
    A Jan S100 114
    A Feb S100 99
    B Jan S100 115
    B Feb S100 99
    C Jan S100 101
    C Feb S100 112
    A Jan S101 115
    A Feb S101 100
    B Jan S101 114
    B Feb S101 99
    C Jan S101 103
    C Feb S101 109
    A Jan S102 115
    A Feb S102 102
    B Jan S102 112
    B Feb S102 89
    C Jan S102 109
    C Feb S102 108
    A Jan S103 115
    A Feb S103 96
    B Jan S103 115
    B Feb S103 97
    C Jan S103 110
    C Feb S103 111
    A Jan S104 115
    A Feb S104 106
    B Jan S104 110
    B Feb S104 95
    C Jan S104 104
    C Feb S104 114
    A Jan S105 118
    A Feb S105 106
    B Jan S105 112
    B Feb S105 99
    C Jan S105 106
    C Feb S105 118
    A Jan S106 115
    A Feb S106 100
    B Jan S106 114
    B Feb S106 97
    C Jan S106 108
    C Feb S106 110
    A Jan S107 114
    A Feb S107 107
    B Jan S107 112
    B Feb S107 95
    C Jan S107 106
    C Feb S107 109
    A Jan S108 116
    A Feb S108 107
    B Jan S108 111
    B Feb S108 101
    C Jan S108 104
    C Feb S108 115
    A Jan S109 114
    A Feb S109 103
    B Jan S109 111
    B Feb S109 100
    C Jan S109 92
    C Feb S109 112
    A Jan S110 115
    A Feb S110 100
    B Jan S110 114
    B Feb S110 98
    C Jan S110 107
    C Feb S110 111
    A Jan S111 115
    A Feb S111 114
    B Jan S111 112
    B Feb S111 101
    C Jan S111 106
    C Feb S111 103
    A Jan S112 115
    A Feb S112 101
    B Jan S112 113
    B Feb S112 104
    C Jan S112 109
    C Feb S112 106
    A Jan S113 115
    A Feb S113 100
    B Jan S113 114
    B Feb S113 102
    C Jan S113 103
    C Feb S113 120
    A Jan S114 116
    A Feb S114 89
    B Jan S114 113
    B Feb S114 106
    C Jan S114 105
    C Feb S114 114
    A Jan S115 116
    A Feb S115 105
    B Jan S115 115
    B Feb S115 96
    C Jan S115 101
    C Feb S115 113
    A Jan S116 115
    A Feb S116 107
    B Jan S116 112
    B Feb S116 95
    C Jan S116 103
    C Feb S116 110
    A Jan S117 115
    A Feb S117 97
    B Jan S117 111
    B Feb S117 107
    C Jan S117 106
    C Feb S117 105
    A Jan S118 115
    A Feb S118 95
    B Jan S118 112
    B Feb S118 99
    C Jan S118 106
    C Feb S118 112
    A Jan S119 113
    A Feb S119 103
    B Jan S119 109
    B Feb S119 96
    C Jan S119 97
    C Feb S119 110
    A Jan S120 115
    A Feb S120 102
    B Jan S120 112
    B Feb S120 99
    C Jan S120 101
    C Feb S120 107
    A Jan S121 116
    A Feb S121 106
    B Jan S121 114
    B Feb S121 101
    C Jan S121 107
    C Feb S121 106
    A Jan S122 117
    A Feb S122 112
    B Jan S122 111
    B Feb S122 98
    C Jan S122 106
    C Feb S122 109
    A Jan S123 115
    A Feb S123 111
    B Jan S123 109
    B Feb S123 102
    C Jan S123 102
    C Feb S123 111
    A Jan S124 113
    A Feb S124 105
    B Jan S124 111
    B Feb S124 91
    C Jan S124 100
    C Feb S124 108
    A Jan S125 114
    A Feb S125 110
    B Jan S125 112
    B Feb S125 95
    C Jan S125 106
    C Feb S125 105
    A Jan S126 115
    A Feb S126 96
    B Jan S126 114
    B Feb S126 117
    C Jan S126 103
    C Feb S126 110
    A Jan S127 115
    A Feb S127 98
    B Jan S127 112
    B Feb S127 91
    C Jan S127 117
    C Feb S127 102
    A Jan S128 116
    A Feb S128 105
    B Jan S128 112
    B Feb S128 86
    C Jan S128 112
    C Feb S128 110
    A Jan S129 116
    A Feb S129 98
    B Jan S129 114
    B Feb S129 101
    C Jan S129 108
    C Feb S129 112
    A Jan S130 116
    A Feb S130 105
    B Jan S130 113
    B Feb S130 103
    C Jan S130 104
    C Feb S130 111
    A Jan S131 114
    A Feb S131 95
    B Jan S131 111
    B Feb S131 100
    C Jan S131 104
    C Feb S131 111
    A Jan S132 115
    A Feb S132 102
    B Jan S132 112
    B Feb S132 103
    C Jan S132 108
    C Feb S132 106
    A Jan S133 115
    A Feb S133 106
    B Jan S133 111
    B Feb S133 98
    C Jan S133 105
    C Feb S133 109
    A Jan S134 116
    A Feb S134 108
    B Jan S134 111
    B Feb S134 111
    C Jan S134 103
    C Feb S134 105
    A Jan S135 115
    A Feb S135 111
    B Jan S135 117
    B Feb S135 101
    C Jan S135 105
    C Feb S135 115
    A Jan S136 115
    A Feb S136 104
    B Jan S136 112
    B Feb S136 101
    C Jan S136 107
    C Feb S136 108
    A Jan S137 116
    A Feb S137 98
    B Jan S137 112
    B Feb S137 98
    C Jan S137 106
    C Feb S137 111
    A Jan S138 115
    A Feb S138 106
    B Jan S138 112
    B Feb S138 92
    C Jan S138 106
    C Feb S138 114
    A Jan S139 117
    A Feb S139 109
    B Jan S139 112
    B Feb S139 109
    C Jan S139 107
    C Feb S139 107
    A Jan S140 116
    A Feb S140 108
    B Jan S140 112
    B Feb S140 106
    C Jan S140 106
    C Feb S140 111
    A Jan S141 116
    A Feb S141 103
    B Jan S141 113
    B Feb S141 103
    C Jan S141 107
    C Feb S141 110
    A Jan S142 118
    A Feb S142 100
    B Jan S142 112
    B Feb S142 104
    C Jan S142 112
    C Feb S142 110
    A Jan S143 116
    A Feb S143 99
    B Jan S143 112
    B Feb S143 92
    C Jan S143 108
    C Feb S143 109
    A Jan S144 117
    A Feb S144 103
    B Jan S144 109
    B Feb S144 98
    C Jan S144 107
    C Feb S144 114
    A Jan S145 115
    A Feb S145 104
    B Jan S145 110
    B Feb S145 102
    C Jan S145 101
    C Feb S145 107
    A Jan S146 116
    A Feb S146 102
    B Jan S146 110
    B Feb S146 103
    C Jan S146 106
    C Feb S146 107
    A Jan S147 115
    A Feb S147 111
    B Jan S147 114
    B Feb S147 110
    C Jan S147 102
    C Feb S147 108
    A Jan S148 117
    A Feb S148 111
    B Jan S148 111
    B Feb S148 111
    C Jan S148 103
    C Feb S148 105
    A Jan S149 115
    A Feb S149 98
    B Jan S149 114
    B Feb S149 85
    C Jan S149 110
    C Feb S149 111
    A Jan S150 117
    A Feb S150 104
    B Jan S150 113
    B Feb S150 98
    C Jan S150 105
    C Feb S150 109
    A Jan S151 116
    A Feb S151 96
    B Jan S151 111
    B Feb S151 100
    C Jan S151 105
    C Feb S151 114
    A Jan S152 115
    A Feb S152 111
    B Jan S152 113
    B Feb S152 102
    C Jan S152 103
    C Feb S152 108
    A Jan S153 115
    A Feb S153 100
    B Jan S153 112
    B Feb S153 86
    C Jan S153 109
    C Feb S153 112
    A Jan S154 116
    A Feb S154 96
    B Jan S154 112
    B Feb S154 99
    C Jan S154 106
    C Feb S154 111
    A Jan S155 119
    A Feb S155 106
    B Jan S155 113
    B Feb S155 104
    C Jan S155 113
    C Feb S155 113
    A Jan S156 115
    A Feb S156 98
    B Jan S156 113
    B Feb S156 101
    C Jan S156 106
    C Feb S156 113
    A Jan S157 115
    A Feb S157 107
    B Jan S157 112
    B Feb S157 88
    C Jan S157 107
    C Feb S157 109
    A Jan S158 116
    A Feb S158 114
    B Jan S158 100
    B Feb S158 100
    C Jan S158 99
    C Feb S158 108
    A Jan S159 116
    A Feb S159 98
    B Jan S159 112
    B Feb S159 101
    C Jan S159 109
    C Feb S159 110
    A Jan S160 115
    A Feb S160 107
    B Jan S160 114
    B Feb S160 102
    C Jan S160 102
    C Feb S160 108
    A Jan S161 114
    A Feb S161 105
    B Jan S161 110
    B Feb S161 101
    C Jan S161 101
    C Feb S161 106
    A Jan S162 115
    A Feb S162 87
    B Jan S162 112
    B Feb S162 105
    C Jan S162 109
    C Feb S162 120
    A Jan S163 115
    A Feb S163 107
    B Jan S163 104
    B Feb S163 94
    C Jan S163 103
    C Feb S163 108
    A Jan S164 116
    A Feb S164 102
    B Jan S164 112
    B Feb S164 120
    C Jan S164 89
    C Feb S164 113
    A Jan S165 116
    A Feb S165 103
    B Jan S165 112
    B Feb S165 102
    C Jan S165 113
    C Feb S165 106
    A Jan S166 117
    A Feb S166 102
    B Jan S166 114
    B Feb S166 106
    C Jan S166 110
    C Feb S166 111
    A Jan S167 115
    A Feb S167 102
    B Jan S167 110
    B Feb S167 96
    C Jan S167 106
    C Feb S167 107
    A Jan S168 116
    A Feb S168 102
    B Jan S168 114
    B Feb S168 99
    C Jan S168 108
    C Feb S168 111
    A Jan S169 117
    A Feb S169 105
    B Jan S169 113
    B Feb S169 106
    C Jan S169 104
    C Feb S169 109
    A Jan S170 118
    A Feb S170 108
    B Jan S170 111
    B Feb S170 86
    C Jan S170 107
    C Feb S170 114
    A Jan S171 116
    A Feb S171 101
    B Jan S171 109
    B Feb S171 87
    C Jan S171 103
    C Feb S171 116
    A Jan S172 117
    A Feb S172 103
    B Jan S172 110
    B Feb S172 95
    C Jan S172 105
    C Feb S172 111
    A Jan S173 115
    A Feb S173 100
    B Jan S173 112
    B Feb S173 108
    C Jan S173 109
    C Feb S173 110
    A Jan S174 116
    A Feb S174 100
    B Jan S174 114
    B Feb S174 104
    C Jan S174 103
    C Feb S174 110
    A Jan S175 116
    A Feb S175 102
    B Jan S175 112
    B Feb S175 104
    C Jan S175 109
    C Feb S175 109
    A Jan S176 115
    A Feb S176 109
    B Jan S176 110
    B Feb S176 100
    C Jan S176 104
    C Feb S176 110
    A Jan S177 115
    A Feb S177 106
    B Jan S177 113
    B Feb S177 101
    C Jan S177 105
    C Feb S177 108
    A Jan S178 115
    A Feb S178 98
    B Jan S178 110
    B Feb S178 105
    C Jan S178 107
    C Feb S178 109
    A Jan S179 113
    A Feb S179 95
    B Jan S179 108
    B Feb S179 100
    C Jan S179 101
    C Feb S179 106
    A Jan S180 115
    A Feb S180 103
    B Jan S180 111
    B Feb S180 89
    C Jan S180 108
    C Feb S180 107
    A Jan S181 113
    A Feb S181 101
    B Jan S181 111
    B Feb S181 92
    C Jan S181 100
    C Feb S181 109
    A Jan S182 116
    A Feb S182 104
    B Jan S182 109
    B Feb S182 97
    C Jan S182 107
    C Feb S182 108
    A Jan S183 116
    A Feb S183 105
    B Jan S183 115
    B Feb S183 101
    C Jan S183 102
    C Feb S183 111
    A Jan S184 118
    A Feb S184 104
    B Jan S184 113
    B Feb S184 100
    C Jan S184 106
    C Feb S184 108
    A Jan S185 116
    A Feb S185 104
    B Jan S185 111
    B Feb S185 110
    C Jan S185 113
    C Feb S185 107
    A Jan S186 117
    A Feb S186 107
    B Jan S186 113
    B Feb S186 99
    C Jan S186 106
    C Feb S186 110
    A Jan S187 115
    A Feb S187 111
    B Jan S187 110
    B Feb S187 94
    C Jan S187 96
    C Feb S187 113
    A Jan S188 115
    A Feb S188 100
    B Jan S188 113
    B Feb S188 97
    C Jan S188 107
    C Feb S188 110
    A Jan S189 115
    A Feb S189 110
    B Jan S189 111
    B Feb S189 100
    C Jan S189 113
    C Feb S189 105
    A Jan S190 115
    A Feb S190 100
    B Jan S190 112
    B Feb S190 94
    C Jan S190 103
    C Feb S190 111
    A Jan S191 116
    A Feb S191 110
    B Jan S191 112
    B Feb S191 98
    C Jan S191 104
    C Feb S191 109
    A Jan S192 117
    A Feb S192 102
    B Jan S192 113
    B Feb S192 98
    C Jan S192 109
    C Feb S192 105
    A Jan S193 115
    A Feb S193 98
    B Jan S193 111
    B Feb S193 89
    C Jan S193 110
    C Feb S193 109
    A Jan S194 116
    A Feb S194 103
    B Jan S194 114
    B Feb S194 100
    C Jan S194 109
    C Feb S194 112
    A Jan S195 116
    A Feb S195 101
    B Jan S195 112
    B Feb S195 105
    C Jan S195 105
    C Feb S195 107
    A Jan S196 116
    A Feb S196 104
    B Jan S196 114
    B Feb S196 103
    C Jan S196 105
    C Feb S196 110
    A Jan S197 117
    A Feb S197 111
    B Jan S197 120
    B Feb S197 102
    C Jan S197 111
    C Feb S197 107
    A Jan S198 116
    A Feb S198 103
    B Jan S198 111
    B Feb S198 95
    C Jan S198 103
    C Feb S198 111
    A Jan S199 115
    A Feb S199 102
    B Jan S199 111
    B Feb S199 85
    C Jan S199 104
    C Feb S199 108
    A Jan S200 115
    A Feb S200 96
    B Jan S200 111
    B Feb S200 93
    C Jan S200 110
    C Feb S200 112
    A Jan S201 115
    A Feb S201 101
    B Jan S201 113
    B Feb S201 102
    C Jan S201 101
    C Feb S201 109
    A Jan S202 114
    A Feb S202 104
    B Jan S202 113
    B Feb S202 104
    C Jan S202 105
    C Feb S202 105
    A Jan S203 116
    A Feb S203 91
    B Jan S203 99
    B Feb S203 97
    C Jan S203 101
    C Feb S203 109
    A Jan S204 115
    A Feb S204 97
    B Jan S204 113
    B Feb S204 97
    C Jan S204 108
    C Feb S204 110
    A Jan S205 113
    A Feb S205 96
    B Jan S205 113
    B Feb S205 92
    C Jan S205 108
    C Feb S205 109
    A Jan S206 114
    A Feb S206 83
    B Jan S206 112
    B Feb S206 102
    C Jan S206 106
    C Feb S206 109
    A Jan S207 116
    A Feb S207 100
    B Jan S207 112
    B Feb S207 100
    C Jan S207 105
    C Feb S207 112
    A Jan S208 118
    A Feb S208 96
    B Jan S208 114
    B Feb S208 107
    C Jan S208 114
    C Feb S208 110
    A Jan S209 115
    A Feb S209 103
    B Jan S209 113
    B Feb S209 101
    C Jan S209 106
    C Feb S209 106
    A Jan S210 116
    A Feb S210 103
    B Jan S210 110
    B Feb S210 99
    C Jan S210 111
    C Feb S210 103
    A Jan S211 115
    A Feb S211 96
    B Jan S211 110
    B Feb S211 95
    C Jan S211 100
    C Feb S211 114
    A Jan S212 116
    A Feb S212 95
    B Jan S212 110
    B Feb S212 101
    C Jan S212 105
    C Feb S212 108
    A Jan S213 116
    A Feb S213 105
    B Jan S213 108
    B Feb S213 97
    C Jan S213 106
    C Feb S213 108
    A Jan S214 116
    A Feb S214 103
    B Jan S214 111
    B Feb S214 94
    C Jan S214 107
    C Feb S214 109
    A Jan S215 116
    A Feb S215 107
    B Jan S215 116
    B Feb S215 103
    C Jan S215 104
    C Feb S215 105
    A Jan S216 115
    A Feb S216 97
    B Jan S216 112
    B Feb S216 107
    C Jan S216 107
    C Feb S216 108
    A Jan S217 116
    A Feb S217 102
    B Jan S217 112
    B Feb S217 100
    C Jan S217 103
    C Feb S217 109
    A Jan S218 115
    A Feb S218 96
    B Jan S218 112
    B Feb S218 98
    C Jan S218 105
    C Feb S218 111
    A Jan S219 115
    A Feb S219 104
    B Jan S219 111
    B Feb S219 91
    C Jan S219 107
    C Feb S219 104
    A Jan S220 112
    A Feb S220 92
    B Jan S220 111
    B Feb S220 107
    C Jan S220 107
    C Feb S220 107
    A Jan S221 117
    A Feb S221 100
    B Jan S221 110
    B Feb S221 101
    C Jan S221 108
    C Feb S221 110
    A Jan S222 114
    A Feb S222 97
    B Jan S222 114
    B Feb S222 110
    C Jan S222 108
    C Feb S222 107
    A Jan S223 116
    A Feb S223 99
    B Jan S223 112
    B Feb S223 98
    C Jan S223 108
    C Feb S223 112
    A Jan S224 115
    A Feb S224 105
    B Jan S224 116
    B Feb S224 102
    C Jan S224 107
    C Feb S224 111
    A Jan S225 117
    A Feb S225 116
    B Jan S225 112
    B Feb S225 102
    C Jan S225 105
    C Feb S225 110
    A Jan S226 115
    A Feb S226 101
    B Jan S226 112
    B Feb S226 101
    C Jan S226 105
    C Feb S226 108
    A Jan S227 116
    A Feb S227 108
    B Jan S227 112
    B Feb S227 105
    C Jan S227 104
    C Feb S227 110
    A Jan S228 115
    A Feb S228 108
    B Jan S228 113
    B Feb S228 97
    C Jan S228 104
    C Feb S228 109
    A Jan S229 115
    A Feb S229 109
    B Jan S229 118
    B Feb S229 99
    C Jan S229 113
    C Feb S229 107
    A Jan S230 116
    A Feb S230 92
    B Jan S230 113
    B Feb S230 97
    C Jan S230 113
    C Feb S230 110
    A Jan S231 115
    A Feb S231 100
    B Jan S231 112
    B Feb S231 97
    C Jan S231 108
    C Feb S231 108
    A Jan S232 116
    A Feb S232 110
    B Jan S232 113
    B Feb S232 101
    C Jan S232 107
    C Feb S232 108
    A Jan S233 114
    A Feb S233 103
    B Jan S233 113
    B Feb S233 101
    C Jan S233 106
    C Feb S233 106
    A Jan S234 116
